移動支援,,,,,,,,,,,
事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者：身体,主たる対象者：知的,主たる対象者：精神,主たる対象者：障がい児,指定日
2764100976,訪問介護事業所きずな　西梅田店,06-6867-9814,06-6867-9815,530-0004,大阪市北区堂島浜二丁目１番２号　オフィス堂島３０１,株式会社ＨＡＰＩＳ,○,○,○,○,2022/10/01
2764100109,有限会社介護ステーションヘイル,06-4802-2084,06-4802-2086,530-0014,大阪市北区鶴野町４番１１－９０３号　,有限会社　介護ステーションヘイル,○,○,○,○,2008/09/01
2764100034,株式会社太陽ライフサービス,06-6292-8882,06-6292-8884,530-0015,大阪市北区中崎西二丁目４番４３号　山本ビル梅田７階,株式会社　太陽,○,○,○,○,2008/09/01
2762001622,訪問介護事業所きずな,06-6377-8851,06-6377-8852,530-0015,大阪市北区中崎西四丁目３番３２号　ＡＲＣＡ梅田ビル１００１,合同会社きずなグループ,○,○,○,○,2021/07/01
2764100927,訪問介護事業所つむぐ,06-6485-5588,06-6485-5599,530-0015,大阪市北区中崎西四丁目３番３２号　ＡＲＣＡ梅田ビル２０７号,合同会社つむぐ,○,○,○,○,2022/06/01
2764100943,訪問介護事業所　連,06-6131-9725,06-6131-9726,530-0015,大阪市北区中崎西四丁目３番３２号　ＡＲＣＡ梅田ビル１２０１号室,株式会社蓮,○,○,○,○,2022/07/01
2764101131,訪問介護事業所　なぎ,06-6616-8715,06-6616-8716,530-0015,大阪市北区中崎西四丁目３番３２号　ＡＲＣＡ梅田ビル７０６号,合同会社訪問介護なぎ,○,○,○,○,2024/04/01
2764101230,ＵＬＵ介護サービス,06-6456-7205,06-6456-7206,530-0015,大阪市北区中崎西四丁目３番３２号　ＡＲＣＡ梅田ビル８０２,株式会社ＮＰ,○,○,○,○,2025/05/01
2764101255,ミント,06-6975-0123,06-6975-0124,530-0016,大阪市北区中崎二丁目４番２－３０１Ａ号　 ,株式会社ＭＩＮＴ　ＪＡＰＡＮ,○,○,○,○,2025/07/01
2764100265,よろこびヘルパーステーション,06-6371-3368,06-6371-3367,530-0023,大阪市北区黒崎町８－１　,株式会社　よろこび,○,○,○,○,2009/06/01
2764101263,よかれ訪問介護ステーション,050-7109-0117,050-3383-1219,530-0026,大阪市北区神山町１０番３号　プレサンス梅田１３０２,株式会社よかれ,○,○,○,,2025/12/01
2764101040,介護サービス櫻～ｓａｋｕｒａ～,06-6867-7763, ,530-0027,大阪市北区堂山町１５番２３－１００５号　 ,株式会社掌,○,○,○,○,2023/06/01
2764101172,訪問介護　Ｂｅわん！,06-7223-8443,06-6311-3682,530-0027,大阪市北区堂山町１番５号　三共梅田ビル５階,株式会社イメージ・ラボ,○,○,○,○,2024/09/01
2764101248,せいわケアセンター,06-4301-5849,06-4301-5869,530-0031,大阪市北区菅栄町１２番１９号　塚本文化４号室,株式会社静和,○,○,○,○,2025/07/01
