移動支援,,,,,,,,,,,,,
事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者：身体,主たる対象者：知的,主たる対象者：精神,主たる対象者：障がい児,指定日,,
2769900974,訪問介護ななせ,077-535-9016,077-535-9107,520-0113,大津市坂本七丁目１１番５号　 ,株式会社七瀬,○,○,○,○,2018/12/01,,
2769900909,しみんふくし滋賀　北大津訪問介護事業所,077-574-2681,077-574-2682,520-0248,大津市仰木の里東８丁目１１－１３　 ,社会福祉法人しみんふくし滋賀,○,○,○,○,2017/04/01,,
2769900867,地域生活サポート,0749-46-1503,0749-46-1504,527-0156,東近江市上中野町３９７　 ,社会福祉法人　美輪湖の家,○,○,○,○,2016/09/01,,
2764000184,ワトソンくん介護サービス,06-6842-2250,06-6842-2215,560-0013,豊中市上野東二丁目４番１５号　 ,株式会社ワトソンくん,○,○,○,○,2013/09/01,,
2764006991,訪問介護とらーな,06-4867-4283,06-4867-4284,560-0013,豊中市上野東一丁目２１番４６号　 ,株式会社とらーな,○,○,○,○,2016/09/01,,
2764006165,ケア２１豊中,06-6857-0511,06-6857-0855,560-0022,豊中市北桜塚二丁目３番１１号　ＪＹビル２０１,株式会社　ケア２１,○,○,○,○,2022/12/01,,
2764000010,であいの郷,06-6855-7611,06-6855-7611,560-0026,豊中市玉井町二丁目９番２３号　 ,特定非営利活動法人　であいの郷市民委員会,,,,,2008/09/01,,
2764006504,サン介護サービス,06-6840-3633,06-6840-3623,560-0032,豊中市蛍池東町一丁目１－２２　ディアハイム２０５号室,有限会社ダイトク,○,○,○,○,2019/11/01,,
2764007502,あらたま介護ステーション,06-6844-5168,06-6844-5107,560-0032,豊中市蛍池東町二丁目１番２号　ＳＵＮ・ＳＵＮビル３０１号室,株式会社あら・たま,○,○,○,○,2020/01/01,,
2764000176,ヘルパーステーションＣＩＬ豊中,06-6840-8195,06-6840-8196,560-0033,豊中市蛍池中町２－３－１－２０２　,特定非営利活動法人ＣＩＬ豊中,,,,,2013/03/01,,
2764000382,ニカ,06-7172-2260,06-7175-6058,560-0036,豊中市螢池西町一丁目２６番５号　シャンブルヴィラ２０１号室,株式会社ＮＩＫＡ,○,○,○,○,2024/05/01,,
2764000135,おひさまの晃,06-6842-7691,06-6842-7691,560-0045,豊中市刀根山４丁目５番４号　,特定非営利活動法人孫の手,,,,,2012/01/01,,
2764007825,Ｓｔｒｅｅｔ,06-6676-7097,06-4866-5550,560-0046,豊中市千里園三丁目６番１０号　千里園マンションＣ２０２,合同会社まみー,○,○,○,○,2024/01/01,,
2764000036,障害者生活支援ステーション・ソレイユ,06-6152-4780,06-6152-4771,560-0052,豊中市春日町三丁目１番４１号　,社会福祉法人　豊中きらら福祉会,,,,,2008/09/01,,
2764000242,こころ,06-7897-0172,06-7897-0172,560-0052,豊中市春日町四丁目１７番１２－２０３号　 ,合同会社　こころ,○,○,,,2015/06/01,,
2764007452,ｂｏｔｈ介護ステーション,06-6850-3300,06-6398-7020,560-0054,豊中市桜の町三丁目１７番４－４０３号　 ,合同会社セシル,○,○,○,○,2022/03/01,,
2764007569,がじゅまるヘルパーステーション豊中,06-6310-1701,06-6310-1702,560-0084,豊中市新千里南町２丁目５番１６号　レスパス豊中４０２号室,Ｄ．ｍｙ’ｓ株式会社,○,○,○,○,2020/04/01,,
2764007767,訪問介護ＨＡＲＵ,06-7777-0357,06-7777-0357,560-0084,豊中市新千里南町２丁目２番５号　メゾンカースク２０２号,株式会社ＦＰマザーズ,○,○,○,○,2022/12/01,,
2764007593,アップルケアステーション,06-7172-8130,06-7164-9072,561-0801,豊中市曽根西町３－１０－１　 ,アオキメディカルケア株式会社,○,○,○,○,2022/07/01,,
2764007445,居宅・移動支援サービスＧＥＮＥ,06-6152-5913,06-6152-5910,561-0802,豊中市曽根東町六丁目１２番１１号　 ,合同会社ＧＥＮＥ,○,○,○,○,2019/10/01,,
2764007643,アコール,06-6866-5002,06-6866-5003,561-0802,豊中市曽根東町六丁目１１番２号　ベルシャンブル大栄,ハーモニー株式会社,○,○,○,○,2022/03/01,,
2764007163,訪問介護はえみ大阪,06-6842-9766,06-6333-1997,561-0812,豊中市北条町三丁目１番７号　メゾン星雲１０６,合同会社はえみ,○,○,○,○,2016/12/01,,
2764006744,福祉サービスぶうめらん,06-6152-9858,06-6152-9859,561-0813,豊中市小曽根二丁目６番２５－１０１号　 ,有限会社鈴木製作所,○,○,○,○,2019/12/01,,
2764000200,デガジェ,06-6333-2252,06-6333-2226,561-0815,豊中市豊南町南二丁目６番３５号　 ,合同会社デガジェ,○,○,,○,2014/07/01,,
2764000234,こばと介護ステーション,06-6331-5810,06-6331-5811,561-0816,豊中市豊南町西一丁目１６番１２号　 ,株式会社　ムラタ,○,○,○,○,2014/12/01,,
2764007668,ケアステーションはれた,06-6335-4870,06-6335-4885,561-0816,豊中市豊南町西四丁目２番４号　ヘ号期北側,株式会社ＹＯＫＯ,○,○,○,○,2022/07/01,,
